id,name,followers,popularity,genre
5lHRUCqkQZCIWeX7xG4sYT,rich homie quan,2929735,66,hip-hop
44DUgsrbRUlhwfLyj4ySUB,edwin raphael,29510,45,folk
7lqaPghwYv2mE9baz5XQmL,tally hall,1016864,62,rock
5g63iWaMJ2UrkZMkCC8dMi,lil tracy,1417634,73,hip-hop
41aReIalXY3radWQSR23a5,happy campers,1510,10,rock
22680B8sUdq6bL6nQaJfwg,siriusmo,91973,44,electronic
0ABk515kENDyATUdpCKVfW,westside gunn,845945,69,hip-hop
5BhFZpE8kUGZJiKOsYjLQM,yeek,230348,46,pop
68kEuyFKyqrdQQLLsmiatm,vince staples,2045505,67,hip-hop
1uaS3ZokV40ZrpzSRhx4Ol,k. forest,127140,39,hip-hop
6KJIIOCWsWtNc7ICINtPEw,jonathan wilson,87809,40,rock
6RWjTQqILL7a1tQ0VapyLK,the magnetic fields,292118,59,folk
4xiBg5AwhlWtuxAJO9rO6f,brian setzer,101573,37,rock
3Xt0yrWeurmp48fodXqMWf,billie jo spears,62318,43,country
4uClxFda8FlqQEMNkL7HH3,jzac,68229,44,hip-hop
3yrQJxTTj7xS2deLcXiEM3,murder by death,100354,45,folk
1dfeR4HaWDbWqFHLkxsg1d,queen,55713711,86,rock
6EJmqnuK0r6qiAevFFiNNR,paul davis,153313,46,pop
3SXwqSqAoBz9WCI9PDQzY6,fontaines d.c.,1198462,73,rock
5uh8Bhewltd8j0TLZjNImc,lemon jelly,183944,41,electronic
4vIQLq68LtKcCjdvhobTYl,good tiger,66626,39,rock
3ewQZ4iDkC9CQzceitueXe,paolo pellegrino,3587,40,electronic
3zAhmxuw1F3HmulPuy1RAb,the connells,48049,50,pop
3G40qW99T4cCX44VX1g8a3,susan tyler,93,24,electronic
49aaHxvAJ0tCh0F15OnwIl,loreen,1203495,67,pop
40ZNYROS4zLfyyBSs2PGe2,zach bryan,7506751,87,country
7HQH1SJokcVMdstilKJ2S8,the brian setzer orchestra,109850,54,jazz
0VAO3FEhPxiR9e1nAlFzbr,emmy lou and the rhythm boys,4547,19,rock
63t3EqMeymxd4CM85RqsCd,steve moakler,36478,33,country
6nwh8AhPpbwOUnHZJWrHT6,david allan coe,1072823,60,country
5zfaMrd5q4szVTxVYWuoDV,mark o'connor,15685,40,country
19eLuQmk9aCobbVDHc6eek,louis armstrong,3270461,76,jazz
5Matrg5du62bXwer29cU5T,benny the butcher,542807,65,hip-hop
6kgrtA0dlnVpWB6zjpXrRb,femi kuti,76715,38,r&b
3CYSRCHfilgR8DSbkCMp5j,cowboy junkies,225909,50,country
2lFHVcUeJ9Gq6AZiU3ZAOa,3lw,662152,43,hip-hop
3gIRvgZssIb9aiirIg0nI3,jeremy zucker,2369482,66,electronic
1DC6dxbOJakgzj7zAMeXyA,daniel james ,819,23,pop
01nVIuD8YZsnFH6x6Cc9rX,large professor,105745,42,hip-hop
0kMSrud2q1lDBgp43LwU54,a story told,19412,42,rock
6jrRtgFmQO5mQM18TvDuIy,forze dj team,3986,30,electronic
0kEfub5RzlZOB2zGomqVSU,gil scott-heron,385765,49,jazz
4YUo3ryPjAWQ7FrozGD4Sd,thin lear,711,8,classical
5TrkbV9x6OdTBlzWPJeBz5,youngr,146599,44,electronic
5HJ2kX5UTwN4Ns8fB5Rn1I,clipping.,282259,47,hip-hop
23LbwefIODbyGdRbAz3urj,yung joc,884114,64,hip-hop
5VcrwzYyoX3WUTbkaqcIvN,lenny williams,99047,40,r&b
7LvIRMqxj6R39lRFfugeUS,housecall,11175,38,rock
4YRVRgi8uBOhu2ftpg4jlx,benjamin o,242,19,pop
3mvTAjG7rcyk7DQzLwauzV,the bouncing souls,226994,48,rock
5XxvV9vJh0ywqyib7OJpfR,heavy cream,929,2,rock
2lBysCDelfOWhyWLMekvGf,trajik,589,4,hip-hop
49qiE8dj4JuNdpYGRPdKbF,stone sour,3120994,66,rock
0QZvxyFZXcweramX6WnRN7,rufus & carla,10885,19,r&b
30fiiwr2EeZp1tAhzYCmyM,big l,1073561,65,hip-hop
